"","Date","Univariate","Multivariate"
"2020-11-20",2020-11-20,0.00812384806928301,0.0078818476906178
"2020-11-23",2020-11-23,0.0141092341797788,0.0135236370752498
"2020-11-24",2020-11-24,0.022431629764785,0.0212644657906627
"2020-11-25",2020-11-25,0.027511339584113,0.0254824700412979
"2020-11-26",2020-11-26,0.0286579582927833,0.0258063889897714
"2020-11-27",2020-11-27,0.0262878301297022,0.0228298206301708
"2020-11-30",2020-11-30,0.0333649327143057,0.0293632731987378
"2020-12-01",2020-12-01,0.0394586637610542,0.0347124191089799
"2020-12-02",2020-12-02,0.0371282410757947,0.0316266119998446
"2020-12-03",2020-12-03,0.0350501965484297,0.0290166733253637
"2020-12-04",2020-12-04,0.0318600108986558,0.0254962885274707
"2020-12-07",2020-12-07,0.0375025107913781,0.0309541728661832
"2020-12-08",2020-12-08,0.0338610036941799,0.0269836964550697
"2020-12-09",2020-12-09,0.0310719172959034,0.0240445371994933
"2020-12-10",2020-12-10,0.0366273327556633,0.0296128828053709
"2020-12-11",2020-12-11,0.0418408819922026,0.0345238593206574
"2020-12-14",2020-12-14,0.0433663305294085,0.0355883177157496
"2020-12-15",2020-12-15,0.0420114513104721,0.033824008982474
"2020-12-16",2020-12-16,0.0389603625828814,0.0305159995103319
"2020-12-17",2020-12-17,0.0351650964161959,0.0266610346918549
"2020-12-18",2020-12-18,0.0386142326290359,0.0301641360113989
"2020-12-21",2020-12-21,0.0418444395019048,0.0332692445471975
"2020-12-22",2020-12-22,0.0415561676807704,0.0327656098676224
"2020-12-23",2020-12-23,0.0457011057654922,0.0367833309306661
"2020-12-24",2020-12-24,0.0456233873013944,0.036390812511044
"2020-12-29",2020-12-29,0.0500724320615971,0.0405554691510616
"2020-12-30",2020-12-30,0.0451053348902749,0.0352998552361103
