"","Date","Univariate","Multivariate"
"2020-11-20",2020-11-20,0.0149914728736337,0.0155715028110135
"2020-11-23",2020-11-23,0.0387116724732538,0.0396398187519679
"2020-11-24",2020-11-24,0.0515385741764533,0.0535354465084207
"2020-11-25",2020-11-25,0.055045184698861,0.0580824106579559
"2020-11-26",2020-11-26,0.051885050706584,0.0556867193328438
"2020-11-27",2020-11-27,0.0444183300619692,0.0486639532985858
"2020-11-30",2020-11-30,0.0417785883822215,0.0463468277523774
"2020-12-01",2020-12-01,0.0487548605219967,0.0535706732956328
"2020-12-02",2020-12-02,0.050121879676127,0.0553072806781853
"2020-12-03",2020-12-03,0.0779263631376964,0.0829108404535573
"2020-12-04",2020-12-04,0.07324741965698,0.0791011543299624
"2020-12-07",2020-12-07,0.0627753257040979,0.0691450758702621
"2020-12-08",2020-12-08,0.0615898522549254,0.0682922343772482
"2020-12-09",2020-12-09,0.0574880111673649,0.0644113178306637
"2020-12-10",2020-12-10,0.0529480955030828,0.0599391055991945
"2020-12-11",2020-12-11,0.0705902209069782,0.0774500127791561
"2020-12-14",2020-12-14,0.0624743243183518,0.069645591766329
"2020-12-15",2020-12-15,0.0594676561553538,0.0667826249858267
"2020-12-16",2020-12-16,0.0502201051768027,0.0575382295965294
"2020-12-17",2020-12-17,0.0471430498219564,0.0543406129409467
"2020-12-18",2020-12-18,0.0434260208602166,0.0505050072331316
"2020-12-21",2020-12-21,0.0455117116060356,0.0524173898878923
"2020-12-22",2020-12-22,0.04369194311695,0.0505124301937569
"2020-12-23",2020-12-23,0.0430844180422197,0.0498045122986061
"2020-12-24",2020-12-24,0.0379501234689356,0.0445531134379483
"2020-12-29",2020-12-29,0.0387234075258925,0.0451387729570389
"2020-12-30",2020-12-30,0.0340011844487648,0.0402146503068503
