"","Date","Univariate","Multivariate"
"2020-11-20",2020-11-20,0.014901359859803,0.0148505437868412
"2020-11-23",2020-11-23,0.0165555298258495,0.0160668541776623
"2020-11-24",2020-11-24,0.0160266727647591,0.0155402182429811
"2020-11-25",2020-11-25,0.0153662487594393,0.0147915259669938
"2020-11-26",2020-11-26,0.0151257789965271,0.0145133903698422
"2020-11-27",2020-11-27,0.0144717136977857,0.0138660523507692
"2020-11-30",2020-11-30,0.0141710818676326,0.0135450319125631
"2020-12-01",2020-12-01,0.0136785735243409,0.0129423465433859
"2020-12-02",2020-12-02,0.015233046913902,0.0141428879835853
"2020-12-03",2020-12-03,0.0147513105860948,0.0134635282246039
"2020-12-04",2020-12-04,0.0150399966710904,0.0136751944803125
"2020-12-07",2020-12-07,0.0151185455069455,0.0137196629876144
"2020-12-08",2020-12-08,0.0145351220345906,0.0132223369748512
"2020-12-09",2020-12-09,0.0140176542115557,0.0126411575078075
"2020-12-10",2020-12-10,0.0136373120842824,0.012070717524226
"2020-12-11",2020-12-11,0.0165102609969069,0.0144131356095297
"2020-12-14",2020-12-14,0.0158443737164418,0.0137372820795928
"2020-12-15",2020-12-15,0.0162401476552654,0.0140975030169612
"2020-12-16",2020-12-16,0.01583758915707,0.0133672164835286
"2020-12-17",2020-12-17,0.0156411592929969,0.0132667417590068
"2020-12-18",2020-12-18,0.0166271948010958,0.0141341918526814
"2020-12-21",2020-12-21,0.0189853252254155,0.0161394967572023
"2020-12-22",2020-12-22,0.0179834178056429,0.015368101167149
"2020-12-23",2020-12-23,0.0173405668644236,0.014568863065096
"2020-12-24",2020-12-24,0.0167856390553002,0.0138206387227283
"2020-12-29",2020-12-29,0.016025338349031,0.0132115426590158
"2020-12-30",2020-12-30,0.0153497757377827,0.0126409484696596
